k,cv_accuracy
5,0.69625
10,0.78141666666667
15,0.795354166666667
20,0.8033333333333330
25,0.8035416666666670
30,0.8014583333333330
35,0.7991666666666670
40,0.7933333333333330
45,0.7897916666666670
50,0.7837500000000000
55,0.7833333333333330
60,0.7887500000000000
65,0.7837500000000000
70,0.77625
75,0.7770833333333330
