k,cv_accuracy
5,0.7441666666666668
10,0.7935416666666667
15,0.805
20,0.8033333333333333
25,0.8035416666666666
30,0.8014583333333334
35,0.7991666666666666
40,0.7933333333333333
45,0.7897916666666667
50,0.7837500000000001
55,0.7833333333333334
60,0.7887500000000001
65,0.7837500000000001
70,0.77625
75,0.7770833333333333
