k,cv_accuracy
5,0.68625
10,0.7635416666666666
15,0.7808333333333334
20,0.7768750000000001
25,0.7806249999999999
30,0.788125
35,0.794375
40,0.7947916666666667
45,0.7843749999999999
50,0.7810416666666666
55,0.78375
60,0.78375
65,0.7777083333333333
70,0.7733333333333334
75,0.7639583333333333
