fpr,tpr_RF,tpr_ET,tpr_GBDT,tpr_DT,tpr_Voting
0.0,0.1267361111111111,0.15624999999999997,0.10416666666666667,0.0,0.14930555555555555
0.001,0.12940277777777778,0.15624999999999997,0.10416666666666667,0.006802380952380952,0.14930555555555555
0.002,0.15330555555555556,0.17447916666666666,0.12934027777777776,0.013604761904761904,0.19618055555555555
0.003,0.18576388888888887,0.22916666666666666,0.171875,0.020407142857142856,0.22135416666666666
0.004,0.23177083333333334,0.23524305555555558,0.18402777777777776,0.02720952380952381,0.2552083333333333
0.005,0.23177083333333334,0.23524305555555558,0.18402777777777776,0.034011904761904764,0.2552083333333333
0.006,0.23629861111111114,0.2595486111111111,0.21006944444444442,0.04081428571428571,0.2569444444444444
0.007,0.2560763888888889,0.2664930555555555,0.21701388888888887,0.04761666666666667,0.2673611111111111
0.008,0.2873263888888889,0.2951388888888889,0.2508680555555555,0.05441904761904762,0.2821180555555555
0.009000000000000001,0.2873263888888889,0.2951388888888889,0.2508680555555555,0.06122142857142857,0.2821180555555555
0.01,0.3038194444444444,0.2977430555555556,0.265625,0.06802380952380953,0.2916666666666667
0.011,0.3194444444444444,0.3307291666666667,0.2673611111111111,0.07482619047619048,0.3194444444444445
0.012,0.3376736111111111,0.3350694444444444,0.2821180555555556,0.08162857142857143,0.3263888888888889
0.013000000000000001,0.3376736111111111,0.3350694444444444,0.2821180555555556,0.08843095238095237,0.3263888888888889
0.014,0.3428819444444445,0.34722222222222227,0.2907986111111111,0.09523333333333334,0.33159722222222227
0.015,0.3541666666666667,0.3602430555555556,0.3012152777777778,0.10203571428571427,0.3368055555555555
0.016,0.3663194444444444,0.3663194444444444,0.3246527777777778,0.10883809523809523,0.34027777777777773
0.017,0.3689236111111111,0.37934027777777773,0.3272569444444445,0.11564047619047618,0.34375
0.018000000000000002,0.3689236111111111,0.37934027777777773,0.3272569444444445,0.12244285714285714,0.34375
0.019,0.3802083333333333,0.3897569444444444,0.3307291666666667,0.12924523809523808,0.34982638888888884
0.02,0.38628472222222227,0.39670138888888884,0.33159722222222227,0.13604761904761906,0.3524305555555556
0.021,0.3897569444444445,0.40451388888888884,0.3506944444444444,0.14285,0.3645833333333333
0.022,0.3897569444444445,0.40451388888888884,0.3506944444444444,0.14965238095238095,0.3645833333333333
0.023,0.3993055555555555,0.40625,0.36371527777777773,0.1564547619047619,0.3680555555555556
0.024,0.4071180555555555,0.4149305555555556,0.3680555555555556,0.16325714285714285,0.375
0.025,0.4131944444444444,0.4227430555555555,0.3758680555555555,0.17005952380952383,0.3776041666666667
0.026000000000000002,0.4131944444444444,0.4227430555555555,0.3758680555555555,0.17686190476190475,0.3776041666666667
0.027,0.4192708333333333,0.4305555555555556,0.3897569444444444,0.1836642857142857,0.3802083333333333
0.028,0.421875,0.43402777777777773,0.4001736111111111,0.19046666666666667,0.3810763888888889
0.029,0.42534722222222215,0.4505208333333333,0.4001736111111111,0.1972690476190476,0.3819444444444444
0.03,0.4288194444444444,0.45746527777777785,0.4071180555555556,0.20407142857142854,0.38628472222222227
0.031,0.4288194444444444,0.45746527777777785,0.4071180555555556,0.21087380952380952,0.38628472222222227
0.032,0.4305555555555556,0.45920138888888884,0.4079861111111111,0.21767619047619047,0.4053819444444444
0.033,0.4470486111111111,0.4626736111111111,0.4166666666666666,0.22447857142857142,0.40798611111111116
0.034,0.4522569444444444,0.4661458333333333,0.4236111111111111,0.23128095238095236,0.4131944444444445
0.035,0.4522569444444444,0.4661458333333333,0.4236111111111111,0.23808333333333334,0.4131944444444445
0.036000000000000004,0.45312499999999994,0.46875,0.43229166666666674,0.2448857142857143,0.421875
0.037,0.4609375,0.4835069444444444,0.4357638888888889,0.25168809523809516,0.4314236111111111
0.038,0.46440972222222227,0.48871527777777773,0.44010416666666674,0.25849047619047616,0.4375
0.039,0.46440972222222227,0.48871527777777773,0.44010416666666674,0.26529285714285716,0.4375
0.04,0.4678819444444445,0.5,0.4522569444444444,0.2720952380952381,0.44097222222222215
0.041,0.4696180555555555,0.5026041666666666,0.46527777777777785,0.278897619047619,0.4444444444444444
0.042,0.48611111111111116,0.5052083333333334,0.4713541666666667,0.2857,0.4461805555555556
0.043000000000000003,0.48784722222222227,0.5130208333333334,0.4774305555555556,0.29250238095238096,0.4626736111111111
0.044,0.48784722222222227,0.5130208333333334,0.4774305555555556,0.2993047619047619,0.4626736111111111
0.045,0.515625,0.513888888888889,0.4791666666666667,0.30610714285714286,0.48003472222222215
0.046,0.5190972222222222,0.537326388888889,0.4913194444444445,0.3129095238095238,0.4852430555555556
0.047,0.5347222222222222,0.5434027777777778,0.5,0.31971190476190475,0.4930555555555556
0.048,0.5347222222222222,0.5434027777777778,0.5,0.3265142857142857,0.4930555555555556
0.049,0.545138888888889,0.548611111111111,0.5104166666666666,0.33331666666666665,0.509548611111111
0.05,0.5486111111111112,0.5494791666666666,0.5156250000000001,0.34011904761904765,0.5243055555555555
0.051000000000000004,0.5598958333333334,0.5555555555555555,0.517361111111111,0.3469214285714286,0.5390625
0.052000000000000005,0.5598958333333334,0.5555555555555555,0.517361111111111,0.3537238095238095,0.5390625
0.053,0.5703125,0.5677083333333334,0.5868055555555555,0.35816686507936507,0.5598958333333334
0.054,0.5998263888888888,0.6006944444444444,0.5911458333333334,0.3623954365079365,0.5772569444444445
0.055,0.6067708333333334,0.6223958333333334,0.5954861111111112,0.36662400793650796,0.5815972222222222
0.056,0.6111111111111112,0.6302083333333334,0.5989583333333334,0.37085257936507937,0.5989583333333334
0.057,0.6111111111111112,0.6302083333333334,0.5989583333333334,0.37508115079365084,0.5989583333333334
0.058,0.6128472222222222,0.6362847222222222,0.6128472222222223,0.37930972222222215,0.6067708333333334
0.059000000000000004,0.6163194444444444,0.6371527777777778,0.6215277777777778,0.3835382936507936,0.6223958333333334
0.06,0.6319444444444444,0.646701388888889,0.6345486111111112,0.3877668650793651,0.6284722222222222
0.061,0.6319444444444444,0.646701388888889,0.6345486111111112,0.3919954365079365,0.6284722222222222
0.062,0.6380208333333334,0.6597222222222222,0.6527777777777778,0.39622400793650797,0.6293402777777778
0.063,0.6484375,0.6631944444444445,0.6545138888888888,0.40045257936507933,0.6362847222222222
0.064,0.6536458333333334,0.6762152777777778,0.6588541666666666,0.4046811507936508,0.650173611111111
0.065,0.6536458333333334,0.6762152777777778,0.6588541666666666,0.4089097222222222,0.650173611111111
0.066,0.6579861111111112,0.6814236111111112,0.6588541666666666,0.41313829365079363,0.6545138888888888
0.067,0.6675347222222222,0.6831597222222222,0.6605902777777778,0.4173668650793651,0.6579861111111112
0.068,0.671875,0.6848958333333334,0.6649305555555556,0.42159543650793646,0.6649305555555556
0.069,0.671875,0.6848958333333334,0.6649305555555556,0.42582400793650793,0.6649305555555556
